"Ethnicity","Highest Qualification Held",""
"All","All","3"
"All","Level 4 And Above","2"
"All","Level 3","4"
"All","Level 2","3"
"All","Below Level 2","4"
"All","Other Qualifications","4"
"All","No Qualifications","3"
"Asian","All","5"
"Asian","Level 4 And Above","4"
"Asian","Level 3","6"
"Asian","Level 2","5"
"Asian","Below Level 2","5"
"Asian","Other Qualifications","9"
"Asian","No Qualifications","4"
"Black","All","8"
"Black","Level 4 And Above","7"
"Black","Level 3","11"
"Black","Level 2","9"
"Black","Below Level 2","?"
"Black","Other Qualifications","7"
"Black","No Qualifications","?"
"Mixed","All","6"
"Mixed","Level 4 And Above","4"
"Mixed","Level 3","?"
"Mixed","Level 2","?"
"Mixed","Below Level 2","?"
"Mixed","Other Qualifications","?"
"Mixed","No Qualifications","?"
"White","All","3"
"White","Level 4 And Above","2"
"White","Level 3","3"
"White","Level 2","3"
"White","Below Level 2","4"
"White","Other Qualifications","3"
"White","No Qualifications","3"
"Other","All","5"
"Other","Level 4 And Above","6"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other Qualifications","6"
"Other","No Qualifications","?"
