"Ethnicity","Highest Qualification Held",""
"All","All","3"
"All","Level 4 And Above","3"
"All","Level 3","3"
"All","Level 2","4"
"All","Below Level 2","5"
"All","Other Qualifications","4"
"All","No Qualifications","5"
"Asian","All","5"
"Asian","Level 4 And Above","4"
"Asian","Level 3","6"
"Asian","Level 2","6"
"Asian","Below Level 2","8"
"Asian","Other Qualifications","6"
"Asian","No Qualifications","7"
"Black","All","7"
"Black","Level 4 And Above","6"
"Black","Level 3","8"
"Black","Level 2","6"
"Black","Below Level 2","10"
"Black","Other Qualifications","6"
"Black","No Qualifications","8"
"Mixed","All","7"
"Mixed","Level 4 And Above","3"
"Mixed","Level 3","14"
"Mixed","Level 2","4"
"Mixed","Below Level 2","16"
"Mixed","Other Qualifications","?"
"Mixed","No Qualifications","?"
"White","All","3"
"White","Level 4 And Above","2"
"White","Level 3","3"
"White","Level 2","4"
"White","Below Level 2","5"
"White","Other Qualifications","4"
"White","No Qualifications","5"
"Other","All","5"
"Other","Level 4 And Above","5"
"Other","Level 3","7"
"Other","Level 2","2"
"Other","Below Level 2","?"
"Other","Other Qualifications","7"
"Other","No Qualifications","2"
