"","All","","Other Ethnic Groups","","White",""
"Region","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"All","4","1,450,200","8","362,400","4","1,086,500"
"East Midlands","4","104,700","8","22,300","4","82,300"
"East Of England","4","120,900","6","21,200","4","99,600"
"London","6","283,200","8","140,000","5","142,100"
"North East","6","74,600","11","6,500","6","68,200"
"North West","5","163,100","9","31,600","4","131,600"
"Scotland","4","105,100","6","7,900","4","97,200"
"South East","4","179,100","6","31,200","4","147,900"
"South West","3","91,200","5","8,200","3","82,800"
"Wales","4","62,900","11","7,600","4","55,400"
"West Midlands","5","145,300","10","53,100","4","92,200"
"Yorkshire And The Humber","5","120,000","12","32,900","4","87,100"
