"Sex","Ethnicity","%","Number of people unemployed"
"All","All","4","1,450,200"
"All","Asian","7","166,600"
"All","Indian","4","45,100"
"All","Pakistani, Bangladeshi","11","76,600"
"All","Asian Other","7","45,000"
"All","Black","9","102,200"
"All","Mixed","10","50,100"
"All","White","4","1,086,500"
"All","White British","4","991,200"
"All","White Other","4","95,300"
"All","Other","8","43,500"
"Men","All","5","789,000"
"Men","Asian","7","88,700"
"Men","Indian","4","22,200"
"Men","Pakistani, Bangladeshi","10","44,800"
"Men","Asian Other","7","21,700"
"Men","Black","8","39,000"
"Men","Mixed","10","25,100"
"Men","White","4","615,600"
"Men","White British","4","570,400"
"Men","White Other","4","45,200"
"Men","Other","7","19,700"
"Women","All","4","661,200"
"Women","Asian","8","77,900"
"Women","Indian","5","22,800"
"Women","Pakistani, Bangladeshi","12","31,800"
"Women","Asian Other","7","23,300"
"Women","Black","11","63,100"
"Women","Mixed","10","25,000"
"Women","White","4","470,900"
"Women","White British","4","420,800"
"Women","White Other","4","50,100"
"Women","Other","10","23,800"
