"Ethnicity","Age","%","Number of people unemployed"
"All","16-24","13","490,000"
"All","25-49","3","619,000"
"All","50-64","3","316,700"
"All","65+","2","24,500"
"All","All","4","1,450,200"
"Other Ethnic Groups","16-24","22","123,900"
"Other Ethnic Groups","25-49","6","180,900"
"Other Ethnic Groups","50-64","6","53,200"
"Other Ethnic Groups","65+","6","4,500"
"Other Ethnic Groups","All","8","362,400"
"White","16-24","11","366,000"
"White","25-49","3","436,900"
"White","50-64","3","263,500"
"White","65+","2","20,000"
"White","All","4","1,086,500"
