"Ethnicity","Region","%","Number of people unemployed"
"All","All","4","1,450,200"
"All","East Midlands","4","104,700"
"All","East Of England","4","120,900"
"All","London","6","283,200"
"All","North East","6","74,600"
"All","North West","5","163,100"
"All","Scotland","4","105,100"
"All","South East","4","179,100"
"All","South West","3","91,200"
"All","Wales","4","62,900"
"All","West Midlands","5","145,300"
"All","Yorkshire And The Humber","5","120,000"
"Other Ethnic Groups","All","8","362,400"
"Other Ethnic Groups","East Midlands","8","22,300"
"Other Ethnic Groups","East Of England","6","21,200"
"Other Ethnic Groups","London","8","140,000"
"Other Ethnic Groups","North East","11","6,500"
"Other Ethnic Groups","North West","9","31,600"
"Other Ethnic Groups","Scotland","6","7,900"
"Other Ethnic Groups","South East","6","31,200"
"Other Ethnic Groups","South West","5","8,200"
"Other Ethnic Groups","Wales","11","7,600"
"Other Ethnic Groups","West Midlands","10","53,100"
"Other Ethnic Groups","Yorkshire And The Humber","12","32,900"
"White","All","4","1,086,500"
"White","East Midlands","4","82,300"
"White","East Of England","4","99,600"
"White","London","5","142,100"
"White","North East","6","68,200"
"White","North West","4","131,600"
"White","Scotland","4","97,200"
"White","South East","4","147,900"
"White","South West","3","82,800"
"White","Wales","4","55,400"
"White","West Midlands","4","92,200"
"White","Yorkshire And The Humber","4","87,100"
