"","All","","Men","","Women",""
"Ethnicity","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"All","4","1,450,200","5","789,000","4","661,200"
"Asian","7","166,600","7","88,700","8","77,900"
"Indian","4","45,100","4","22,200","5","22,800"
"Pakistani, Bangladeshi","11","76,600","10","44,800","12","31,800"
"Asian Other","7","45,000","7","21,700","7","23,300"
"Black","9","102,200","8","39,000","11","63,100"
"Mixed","10","50,100","10","25,100","10","25,000"
"White","4","1,086,500","4","615,600","4","470,900"
"White British","4","991,200","4","570,400","4","420,800"
"White Other","4","95,300","4","45,200","4","50,100"
"Other","8","43,500","7","19,700","10","23,800"
