"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%"
"All","5","5","5","5","6","8","8","8","8","8","6","5","5","4","4","4","5","4"
"Asian","9","9","10","10","9","11","11","-","12","12","9","8","7","7","6","6","7","7"
"Indian","7","7","8","7","7","9","8","-","10","9","6","7","5","6","4","4","5","4"
"Pakistani, Bangladeshi","13","13","15","15","15","17","16","-","17","18","14","12","11","10","8","8","9","11"
"Asian Other","9","8","8","9","7","9","9","-","10","9","8","7","6","6","6","6","8","7"
"Black","13","14","13","13","14","18","16","-","17","17","15","12","10","9","9","8","11","9"
"Mixed","12","12","11","12","13","14","15","-","16","16","13","11","11","7","7","6","8","10"
"White","4","4","5","5","5","7","7","-","7","7","6","5","4","4","4","4","4","4"
"White British","4","4","5","5","5","7","7","-","7","7","6","5","4","4","4","4","4","4"
"White Other","6","6","5","5","5","7","6","-","6","6","6","5","4","4","3","3","5","4"
"Other","11","11","13","10","11","12","13","-","14","13","10","9","7","8","8","7","7","8"
