"Time","Ethnicity","%"
"2004","All","5"
"2004","Asian","9"
"2004","Indian","7"
"2004","Pakistani, Bangladeshi","13"
"2004","Asian Other","9"
"2004","Black","13"
"2004","Mixed","12"
"2004","White","4"
"2004","White British","4"
"2004","White Other","6"
"2004","Other","11"
"2005","All","5"
"2005","Asian","9"
"2005","Indian","7"
"2005","Pakistani, Bangladeshi","13"
"2005","Asian Other","8"
"2005","Black","14"
"2005","Mixed","12"
"2005","White","4"
"2005","White British","4"
"2005","White Other","6"
"2005","Other","11"
"2006","All","5"
"2006","Asian","10"
"2006","Indian","8"
"2006","Pakistani, Bangladeshi","15"
"2006","Asian Other","8"
"2006","Black","13"
"2006","Mixed","11"
"2006","White","5"
"2006","White British","5"
"2006","White Other","5"
"2006","Other","13"
"2007","All","5"
"2007","Asian","10"
"2007","Indian","7"
"2007","Pakistani, Bangladeshi","15"
"2007","Asian Other","9"
"2007","Black","13"
"2007","Mixed","12"
"2007","White","5"
"2007","White British","5"
"2007","White Other","5"
"2007","Other","10"
"2008","All","6"
"2008","Asian","9"
"2008","Indian","7"
"2008","Pakistani, Bangladeshi","15"
"2008","Asian Other","7"
"2008","Black","14"
"2008","Mixed","13"
"2008","White","5"
"2008","White British","5"
"2008","White Other","5"
"2008","Other","11"
"2009","All","8"
"2009","Asian","11"
"2009","Indian","9"
"2009","Pakistani, Bangladeshi","17"
"2009","Asian Other","9"
"2009","Black","18"
"2009","Mixed","14"
"2009","White","7"
"2009","White British","7"
"2009","White Other","7"
"2009","Other","12"
"2010","All","8"
"2010","Asian","11"
"2010","Indian","8"
"2010","Pakistani, Bangladeshi","16"
"2010","Asian Other","9"
"2010","Black","16"
"2010","Mixed","15"
"2010","White","7"
"2010","White British","7"
"2010","White Other","6"
"2010","Other","13"
"2011","All","8"
"2011","Asian","-"
"2011","Indian","-"
"2011","Pakistani, Bangladeshi","-"
"2011","Asian Other","-"
"2011","Black","-"
"2011","Mixed","-"
"2011","White","-"
"2011","White British","-"
"2011","White Other","-"
"2011","Other","-"
"2012","All","8"
"2012","Asian","12"
"2012","Indian","10"
"2012","Pakistani, Bangladeshi","17"
"2012","Asian Other","10"
"2012","Black","17"
"2012","Mixed","16"
"2012","White","7"
"2012","White British","7"
"2012","White Other","6"
"2012","Other","14"
"2013","All","8"
"2013","Asian","12"
"2013","Indian","9"
"2013","Pakistani, Bangladeshi","18"
"2013","Asian Other","9"
"2013","Black","17"
"2013","Mixed","16"
"2013","White","7"
"2013","White British","7"
"2013","White Other","6"
"2013","Other","13"
"2014","All","6"
"2014","Asian","9"
"2014","Indian","6"
"2014","Pakistani, Bangladeshi","14"
"2014","Asian Other","8"
"2014","Black","15"
"2014","Mixed","13"
"2014","White","6"
"2014","White British","6"
"2014","White Other","6"
"2014","Other","10"
"2015","All","5"
"2015","Asian","8"
"2015","Indian","7"
"2015","Pakistani, Bangladeshi","12"
"2015","Asian Other","7"
"2015","Black","12"
"2015","Mixed","11"
"2015","White","5"
"2015","White British","5"
"2015","White Other","5"
"2015","Other","9"
"2016","All","5"
"2016","Asian","7"
"2016","Indian","5"
"2016","Pakistani, Bangladeshi","11"
"2016","Asian Other","6"
"2016","Black","10"
"2016","Mixed","11"
"2016","White","4"
"2016","White British","4"
"2016","White Other","4"
"2016","Other","7"
"2017","All","4"
"2017","Asian","7"
"2017","Indian","6"
"2017","Pakistani, Bangladeshi","10"
"2017","Asian Other","6"
"2017","Black","9"
"2017","Mixed","7"
"2017","White","4"
"2017","White British","4"
"2017","White Other","4"
"2017","Other","8"
"2018","All","4"
"2018","Asian","6"
"2018","Indian","4"
"2018","Pakistani, Bangladeshi","8"
"2018","Asian Other","6"
"2018","Black","9"
"2018","Mixed","7"
"2018","White","4"
"2018","White British","4"
"2018","White Other","3"
"2018","Other","8"
"2019","All","4"
"2019","Asian","6"
"2019","Indian","4"
"2019","Pakistani, Bangladeshi","8"
"2019","Asian Other","6"
"2019","Black","8"
"2019","Mixed","6"
"2019","White","4"
"2019","White British","4"
"2019","White Other","3"
"2019","Other","7"
"2020","All","5"
"2020","Asian","7"
"2020","Indian","5"
"2020","Pakistani, Bangladeshi","9"
"2020","Asian Other","8"
"2020","Black","11"
"2020","Mixed","8"
"2020","White","4"
"2020","White British","4"
"2020","White Other","5"
"2020","Other","7"
"2021","All","4"
"2021","Asian","7"
"2021","Indian","4"
"2021","Pakistani, Bangladeshi","11"
"2021","Asian Other","7"
"2021","Black","9"
"2021","Mixed","10"
"2021","White","4"
"2021","White British","4"
"2021","White Other","4"
"2021","Other","8"
