"Ethnicity","Broad grade","%","Headcount"
"Asian","Very Senior Manager","4.6","92"
"Asian","Senior (Bands 8a-9)","6.1","4,430"
"Asian","Middle (Bands 5-7)","8.9","47,686"
"Asian","Support (Bands 1-4)","7.3","33,330"
"Asian","Other grade","8.1","1,081"
"Black","Very Senior Manager","1.2","25"
"Black","Senior (Bands 8a-9)","3.5","2,551"
"Black","Middle (Bands 5-7)","6.7","36,017"
"Black","Support (Bands 1-4)","6.2","28,393"
"Black","Other grade","5.0","673"
"Chinese","Very Senior Manager","0.2","4"
"Chinese","Senior (Bands 8a-9)","0.6","471"
"Chinese","Middle (Bands 5-7)","0.4","2,408"
"Chinese","Support (Bands 1-4)","0.2","905"
"Chinese","Other grade","0.2","31"
"Mixed","Very Senior Manager","0.8","17"
"Mixed","Senior (Bands 8a-9)","1.4","1,013"
"Mixed","Middle (Bands 5-7)","1.6","8,499"
"Mixed","Support (Bands 1-4)","1.6","7,503"
"Mixed","Other grade","1.8","235"
"White","Very Senior Manager","92.9","1,869"
"White","Senior (Bands 8a-9)","87.5","63,724"
"White","Middle (Bands 5-7)","79.8","428,748"
"White","Support (Bands 1-4)","82.9","377,321"
"White","Other grade","83.3","11,144"
"Other","Very Senior Manager","0.2","5"
"Other","Senior (Bands 8a-9)","0.9","659"
"Other","Middle (Bands 5-7)","2.6","14,217"
"Other","Support (Bands 1-4)","1.6","7,481"
"Other","Other grade","1.6","208"
"Unknown","Very Senior Manager","N/A","200"
"Unknown","Senior (Bands 8a-9)","N/A","2,660"
"Unknown","Middle (Bands 5-7)","N/A","22,796"
"Unknown","Support (Bands 1-4)","N/A","19,920"
"Unknown","Other grade","N/A","2,345"
