"","Asian","","Black","","Chinese","","Mixed","","White","","Other","","Unknown",""
"Grade","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"All grades","29.7","32,308","4.6","5,045","2.5","2,757","3.2","3,468","55.6","60,400","4.3","4,698","N/A","10,921"
"Senior Doctor (Career Grade)","","","","","","","","","","","","","",""
"Consultant","28.6","13,704","2.9","1,405","2.1","985","2.3","1,092","60.7","29,091","3.5","1,664","N/A","3,102"
"Associate Specialist","40.6","818","5.2","104","0.8","16","2.9","59","41.5","837","9.1","183","N/A","131"
"Specialty Doctor","43.6","3,281","6.2","467","0.9","71","3.3","249","38.4","2,888","7.5","565","N/A","682"
"Staff Grade","38.0","108","7.0","20","1.1","3","3.5","10","42.6","121","7.7","22","N/A","29"
"Junior Doctor (Training and equivalent)","","","","","","","","","","","","","",""
"Specialty Registrar","29.1","8,018","6.5","1,782","3.4","943","4.1","1,136","52.1","14,383","4.8","1,322","N/A","3,578"
"Core Training","30.2","3,182","7.2","759","3.2","333","4.2","439","50.1","5,274","5.1","537","N/A","1,451"
"Foundation Doctor Year 1","26.0","1,420","4.4","238","3.7","204","4.3","233","58.5","3,194","3.1","167","N/A","843"
"Foundation Doctor Year 2","25.8","1,249","4.6","221","3.7","178","4.0","195","57.9","2,798","4.0","194","N/A","706"
"Other doctors","","","","","","","","","","","","","",""
"Hospital Practitioner / Clinical Assistant","18.5","281","1.6","24","0.7","10","1.5","23","75.8","1,153","2.0","30","N/A","253"
"Other and Local HCHS Doctor Grades","24.4","308","2.5","32","1.6","20","3.0","38","66.5","840","2.0","25","N/A","177"
