"Ethnicity","Grade","%","Headcount"
"Asian","All grades","29.7","32,308"
"Asian","Senior Doctor (Career Grade)","",""
"Asian","Consultant","28.6","13,704"
"Asian","Associate Specialist","40.6","818"
"Asian","Specialty Doctor","43.6","3,281"
"Asian","Staff Grade","38.0","108"
"Asian","Junior Doctor (Training and equivalent)","",""
"Asian","Specialty Registrar","29.1","8,018"
"Asian","Core Training","30.2","3,182"
"Asian","Foundation Doctor Year 1","26.0","1,420"
"Asian","Foundation Doctor Year 2","25.8","1,249"
"Asian","Other doctors","",""
"Asian","Hospital Practitioner / Clinical Assistant","18.5","281"
"Asian","Other and Local HCHS Doctor Grades","24.4","308"
"Black","All grades","4.6","5,045"
"Black","Senior Doctor (Career Grade)","",""
"Black","Consultant","2.9","1,405"
"Black","Associate Specialist","5.2","104"
"Black","Specialty Doctor","6.2","467"
"Black","Staff Grade","7.0","20"
"Black","Junior Doctor (Training and equivalent)","",""
"Black","Specialty Registrar","6.5","1,782"
"Black","Core Training","7.2","759"
"Black","Foundation Doctor Year 1","4.4","238"
"Black","Foundation Doctor Year 2","4.6","221"
"Black","Other doctors","",""
"Black","Hospital Practitioner / Clinical Assistant","1.6","24"
"Black","Other and Local HCHS Doctor Grades","2.5","32"
"Chinese","All grades","2.5","2,757"
"Chinese","Senior Doctor (Career Grade)","",""
"Chinese","Consultant","2.1","985"
"Chinese","Associate Specialist","0.8","16"
"Chinese","Specialty Doctor","0.9","71"
"Chinese","Staff Grade","1.1","3"
"Chinese","Junior Doctor (Training and equivalent)","",""
"Chinese","Specialty Registrar","3.4","943"
"Chinese","Core Training","3.2","333"
"Chinese","Foundation Doctor Year 1","3.7","204"
"Chinese","Foundation Doctor Year 2","3.7","178"
"Chinese","Other doctors","",""
"Chinese","Hospital Practitioner / Clinical Assistant","0.7","10"
"Chinese","Other and Local HCHS Doctor Grades","1.6","20"
"Mixed","All grades","3.2","3,468"
"Mixed","Senior Doctor (Career Grade)","",""
"Mixed","Consultant","2.3","1,092"
"Mixed","Associate Specialist","2.9","59"
"Mixed","Specialty Doctor","3.3","249"
"Mixed","Staff Grade","3.5","10"
"Mixed","Junior Doctor (Training and equivalent)","",""
"Mixed","Specialty Registrar","4.1","1,136"
"Mixed","Core Training","4.2","439"
"Mixed","Foundation Doctor Year 1","4.3","233"
"Mixed","Foundation Doctor Year 2","4.0","195"
"Mixed","Other doctors","",""
"Mixed","Hospital Practitioner / Clinical Assistant","1.5","23"
"Mixed","Other and Local HCHS Doctor Grades","3.0","38"
"White","All grades","55.6","60,400"
"White","Senior Doctor (Career Grade)","",""
"White","Consultant","60.7","29,091"
"White","Associate Specialist","41.5","837"
"White","Specialty Doctor","38.4","2,888"
"White","Staff Grade","42.6","121"
"White","Junior Doctor (Training and equivalent)","",""
"White","Specialty Registrar","52.1","14,383"
"White","Core Training","50.1","5,274"
"White","Foundation Doctor Year 1","58.5","3,194"
"White","Foundation Doctor Year 2","57.9","2,798"
"White","Other doctors","",""
"White","Hospital Practitioner / Clinical Assistant","75.8","1,153"
"White","Other and Local HCHS Doctor Grades","66.5","840"
"Other","All grades","4.3","4,698"
"Other","Senior Doctor (Career Grade)","",""
"Other","Consultant","3.5","1,664"
"Other","Associate Specialist","9.1","183"
"Other","Specialty Doctor","7.5","565"
"Other","Staff Grade","7.7","22"
"Other","Junior Doctor (Training and equivalent)","",""
"Other","Specialty Registrar","4.8","1,322"
"Other","Core Training","5.1","537"
"Other","Foundation Doctor Year 1","3.1","167"
"Other","Foundation Doctor Year 2","4.0","194"
"Other","Other doctors","",""
"Other","Hospital Practitioner / Clinical Assistant","2.0","30"
"Other","Other and Local HCHS Doctor Grades","2.0","25"
"Unknown","All grades","N/A","10,921"
"Unknown","Senior Doctor (Career Grade)","",""
"Unknown","Consultant","N/A","3,102"
"Unknown","Associate Specialist","N/A","131"
"Unknown","Specialty Doctor","N/A","682"
"Unknown","Staff Grade","N/A","29"
"Unknown","Junior Doctor (Training and equivalent)","",""
"Unknown","Specialty Registrar","N/A","3,578"
"Unknown","Core Training","N/A","1,451"
"Unknown","Foundation Doctor Year 1","N/A","843"
"Unknown","Foundation Doctor Year 2","N/A","706"
"Unknown","Other doctors","",""
"Unknown","Hospital Practitioner / Clinical Assistant","N/A","253"
"Unknown","Other and Local HCHS Doctor Grades","N/A","177"
