"","Asian","","Black","","Chinese","","Mixed","","White","","Other","","Unknown",""
"Specific grade","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"Graduate entry grades","","","","","","","","","","","","","",""
"Very Senior Manager","4.6","92","1.2","25","0.2","4","0.8","17","92.9","1,869","0.2","5","N/A","200"
"Band 9","3.9","61","2.1","33","0.3","5","1.1","18","92.2","1,457","0.4","7","N/A","92"
"Band 8d","3.5","140","2.3","91","0.4","18","1.1","45","92.3","3,716","0.4","15","N/A","191"
"Band 8c","4.6","382","2.9","241","0.4","32","1.3","110","90.1","7,449","0.7","58","N/A","334"
"Band 8b","5.7","937","3.2","529","0.6","103","1.3","205","88.3","14,419","0.8","134","N/A","586"
"Band 8a","6.8","2,910","3.9","1,657","0.7","313","1.5","635","86.0","36,683","1.0","445","N/A","1,457"
"Band 7","6.4","7,664","5.0","5,930","0.6","660","1.4","1,681","85.1","101,603","1.6","1,865","N/A","4,254"
"Band 6","7.4","15,106","6.1","12,605","0.4","913","1.5","3,079","82.4","168,917","2.2","4,440","N/A","7,970"
"Band 5","11.7","24,916","8.2","17,482","0.4","835","1.8","3,739","74.2","158,228","3.7","7,912","N/A","10,572"
"Non-graduate entry grades","","","","","","","","","","","","","",""
"Band 4","6.7","6,454","5.2","5,027","0.3","246","1.7","1,590","85.0","81,757","1.1","1,070","N/A","3,700"
"Band 3","6.4","9,409","6.5","9,577","0.2","274","1.6","2,415","83.8","123,160","1.4","2,050","N/A","6,073"
"Band 2","8.0","14,418","6.4","11,527","0.2","318","1.6","2,939","81.7","147,028","2.0","3,647","N/A","7,913"
"Band 1","9.5","3,049","7.1","2,262","0.2","67","1.7","559","79.2","25,376","2.2","714","N/A","2,234"
"Unspecified","","","","","","","","","","","","","",""
"Other grades","8.1","1,081","5.0","673","0.2","31","1.8","235","83.3","11,144","1.6","208","N/A","2,345"
