"Role type","Ethnicity","%","Headcount"
"Medical","All","N/A","119,597"
"Medical","Asian","29.7","32,308"
"Medical","Black","4.6","5,045"
"Medical","Chinese","2.5","2,757"
"Medical","Mixed","3.2","3,468"
"Medical","White","55.6","60,400"
"Medical","Other","4.3","4,698"
"Medical","Unknown","N/A","10,921"
"Non Medical","All","N/A","1,121,103"
"Non Medical","Asian","8.0","86,243"
"Non Medical","Black","6.3","67,398"
"Non Medical","Chinese","0.4","3,787"
"Non Medical","Mixed","1.6","17,166"
"Non Medical","White","81.6","876,304"
"Non Medical","Other","2.1","22,501"
"Non Medical","Unknown","N/A","47,704"
