"Measure","Time","Ethnicity","Ethnicity_type","Role_Type","Broad_grade","Grade","Entry_level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1168750"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","All Staff","All grades","All grades","All","7.4","82723"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","All Staff","All grades","All grades","All","5.1","56500"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.5","5988"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.2","12939"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","All Staff","All grades","All grades","All","1.8","20280"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","56318"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","All Staff","All grades","All grades","All","84","934002"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1158920"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","All Staff","All grades","All grades","All","7.6","84610"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","All Staff","All grades","All grades","All","5.2","57200"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.5","5975"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.2","13270"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","All Staff","All grades","All grades","All","1.9","20663"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","50871"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","All Staff","All grades","All grades","All","83.6","926331"
"Percentage of NHS staff in NHS trusts and CCGs","March 2012","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1128140"
"Percentage of NHS staff in NHS trusts and CCGs","March 2012","Asian","ONS 6+1","All Staff","All grades","All grades","All","7.8","84427"
"Percentage of NHS staff in NHS trusts and CCGs","March 2012","Black","ONS 6+1","All Staff","All grades","All grades","All","5.3","56614"
"Percentage of NHS staff in NHS trusts and CCGs","March 2012","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.5","5876"
"Percentage of NHS staff in NHS trusts and CCGs","March 2012","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.2","13301"
"Percentage of NHS staff in NHS trusts and CCGs","March 2012","Other","ONS 6+1","All Staff","All grades","All grades","All","1.9","20495"
"Percentage of NHS staff in NHS trusts and CCGs","March 2012","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","50130"
"Percentage of NHS staff in NHS trusts and CCGs","March 2012","White","ONS 6+1","All Staff","All grades","All grades","All","83.2","897297"
