"","Men","","Women",""
"Ethnicity","%","Teachers","%","Teachers"
"Asian","","","",""
"Bangladeshi","0.6","700","0.6","2,000"
"Indian","1.5","1,700","2.0","7,200"
"Pakistani","1.1","1,300","1.2","4,200"
"Asian other","0.7","800","0.6","2,300"
"Black","","","",""
"Black African","1.3","1,500","0.7","2,500"
"Black Caribbean","1.0","1,100","1.1","3,700"
"Black other","0.4","400","0.3","1,000"
"Mixed","","","",""
"Mixed White/Asian","0.4","500","0.3","1,200"
"Mixed White/Black African","0.2","200","0.1","400"
"Mixed White/Black Caribbean","0.3","400","0.4","1,300"
"Mixed other","0.5","500","0.5","1,800"
"White","","","",""
"White British","85.9","96,600","85.9","302,600"
"White Irish","1.9","2,200","1.4","5,100"
"White other","3.3","3,700","4.0","14,200"
"Other inc Chinese","","","",""
"Chinese","0.2","200","0.2","600"
"Any other","0.6","700","0.6","2,000"
"Unknown","N/A","9,200","N/A","26,000"
