"","Classroom and others","","Deputies and assistants","","Heads",""
"Ethnicity","%","Teachers","%","Teachers","%","Teachers"
"Asian","","","","","",""
"Bangladeshi","0.7","2,600","0.3","100","!","!"
"Indian","2.0","8,000","1.5","700","0.8","200"
"Pakistani","1.3","5,100","0.7","300","0.4","100"
"Asian other","0.7","2,800","0.4","200","0.2","100"
"Black","","","","","",""
"Black African","0.9","3,800","0.4","200","0.2","!"
"Black Caribbean","1.1","4,200","1.0","500","0.7","200"
"Black other","0.3","1,400","0.2","100","0.1","!"
"Mixed","","","","","",""
"Mixed White/Asian","0.4","1,400","0.3","100","0.3","100"
"Mixed White/Black African","0.1","500","0.1","!","0.1","!"
"Mixed White/Black Caribbean","0.4","1,500","0.3","100","0.2","!"
"Mixed other","0.5","2,100","0.4","200","0.2","!"
"White","","","","","",""
"White British","85.1","337,600","89.7","41,900","92.9","19,700"
"White Irish","1.5","6,100","1.7","800","1.8","400"
"White other","4.1","16,500","2.5","1,100","1.8","400"
"Other inc Chinese","","","","","",""
"Chinese","0.2","800","0.1","!","0.1","!"
"Any other","0.6","2,500","0.4","200","0.2","!"
"Unknown","N/A","31,300","N/A","2,800","N/A","1,200"
