"","Nursery and Primary","","Secondary","","Special","","Centrally employed",""
"Ethnicity","%","Teachers","%","Teachers","%","Teachers","%","Teachers"
"Asian","","","","","","","",""
"Bangladeshi","0.5","1,300","0.7","1,400","0.2","100","0.2","!"
"Indian","1.7","3,900","2.3","4,700","1.0","200","1.0","!"
"Pakistani","1.0","2,400","1.4","2,900","0.5","100","0.5","!"
"Asian other","0.5","1,100","0.9","1,800","0.4","100","0.3","!"
"Black","","","","","","","",""
"Black African","0.5","1,100","1.3","2,700","1.0","200","0.1","!"
"Black Caribbean","0.9","2,000","1.2","2,500","1.4","300","0.6","!"
"Black other","0.2","500","0.4","900","0.4","100","0.2","!"
"Mixed","","","","","","","",""
"Mixed White/Asian","0.3","800","0.4","800","0.3","100","0.3","!"
"Mixed White/Black African","0.1","200","0.2","300","0.1","!","0.1","!"
"Mixed White/Black Caribbean","0.3","800","0.4","700","0.5","100","0.3","!"
"Mixed other","0.5","1,100","0.5","1,100","0.5","100","0.5","!"
"White","","","","","","","",""
"White British","88.7","208,000","82.6","167,000","86.2","20,600","90.2","3,700"
"White Irish","1.3","3,100","1.9","3,800","1.4","300","1.1","!"
"White other","2.9","6,900","4.8","9,600","5.4","1,300","4.0","200"
"Other inc Chinese","","","","","","","",""
"Chinese","0.1","300","0.2","500","0.1","!","0.1","!"
"Any other","0.4","1,000","0.8","1,600","0.6","100","0.4","!"
"Unknown","N/A","15,500","N/A","17,100","N/A","1,800","N/A","900"
