"School","Ethnicity","%","Teachers"
"Nursery and Primary","Asian","",""
"Nursery and Primary","Bangladeshi","0.5","1,300"
"Nursery and Primary","Indian","1.7","3,900"
"Nursery and Primary","Pakistani","1.0","2,400"
"Nursery and Primary","Asian other","0.5","1,100"
"Nursery and Primary","Black","",""
"Nursery and Primary","Black African","0.5","1,100"
"Nursery and Primary","Black Caribbean","0.9","2,000"
"Nursery and Primary","Black other","0.2","500"
"Nursery and Primary","Mixed","",""
"Nursery and Primary","Mixed White/Asian","0.3","800"
"Nursery and Primary","Mixed White/Black African","0.1","200"
"Nursery and Primary","Mixed White/Black Caribbean","0.3","800"
"Nursery and Primary","Mixed other","0.5","1,100"
"Nursery and Primary","White","",""
"Nursery and Primary","White British","88.7","208,000"
"Nursery and Primary","White Irish","1.3","3,100"
"Nursery and Primary","White other","2.9","6,900"
"Nursery and Primary","Other inc Chinese","",""
"Nursery and Primary","Chinese","0.1","300"
"Nursery and Primary","Any other","0.4","1,000"
"Nursery and Primary","Unknown","N/A","15,500"
"Secondary","Asian","",""
"Secondary","Bangladeshi","0.7","1,400"
"Secondary","Indian","2.3","4,700"
"Secondary","Pakistani","1.4","2,900"
"Secondary","Asian other","0.9","1,800"
"Secondary","Black","",""
"Secondary","Black African","1.3","2,700"
"Secondary","Black Caribbean","1.2","2,500"
"Secondary","Black other","0.4","900"
"Secondary","Mixed","",""
"Secondary","Mixed White/Asian","0.4","800"
"Secondary","Mixed White/Black African","0.2","300"
"Secondary","Mixed White/Black Caribbean","0.4","700"
"Secondary","Mixed other","0.5","1,100"
"Secondary","White","",""
"Secondary","White British","82.6","167,000"
"Secondary","White Irish","1.9","3,800"
"Secondary","White other","4.8","9,600"
"Secondary","Other inc Chinese","",""
"Secondary","Chinese","0.2","500"
"Secondary","Any other","0.8","1,600"
"Secondary","Unknown","N/A","17,100"
"Special","Asian","",""
"Special","Bangladeshi","0.2","100"
"Special","Indian","1.0","200"
"Special","Pakistani","0.5","100"
"Special","Asian other","0.4","100"
"Special","Black","",""
"Special","Black African","1.0","200"
"Special","Black Caribbean","1.4","300"
"Special","Black other","0.4","100"
"Special","Mixed","",""
"Special","Mixed White/Asian","0.3","100"
"Special","Mixed White/Black African","0.1","!"
"Special","Mixed White/Black Caribbean","0.5","100"
"Special","Mixed other","0.5","100"
"Special","White","",""
"Special","White British","86.2","20,600"
"Special","White Irish","1.4","300"
"Special","White other","5.4","1,300"
"Special","Other inc Chinese","",""
"Special","Chinese","0.1","!"
"Special","Any other","0.6","100"
"Special","Unknown","N/A","1,800"
"Centrally employed","Asian","",""
"Centrally employed","Bangladeshi","0.2","!"
"Centrally employed","Indian","1.0","!"
"Centrally employed","Pakistani","0.5","!"
"Centrally employed","Asian other","0.3","!"
"Centrally employed","Black","",""
"Centrally employed","Black African","0.1","!"
"Centrally employed","Black Caribbean","0.6","!"
"Centrally employed","Black other","0.2","!"
"Centrally employed","Mixed","",""
"Centrally employed","Mixed White/Asian","0.3","!"
"Centrally employed","Mixed White/Black African","0.1","!"
"Centrally employed","Mixed White/Black Caribbean","0.3","!"
"Centrally employed","Mixed other","0.5","!"
"Centrally employed","White","",""
"Centrally employed","White British","90.2","3,700"
"Centrally employed","White Irish","1.1","!"
"Centrally employed","White other","4.0","200"
"Centrally employed","Other inc Chinese","",""
"Centrally employed","Chinese","0.1","!"
"Centrally employed","Any other","0.4","!"
"Centrally employed","Unknown","N/A","900"
