"Ethnicity","% of teacher workforce","Teachers","% of working age population"
"Asian","","",""
"Bangladeshi","0.6","2,700","0.8"
"Indian","1.9","8,900","3.0"
"Pakistani","1.2","5,500","2.0"
"Asian other","0.7","3,100","1.7"
"Black","","",""
"Black African","0.9","4,000","1.9"
"Black Caribbean","1.0","4,800","1.2"
"Black other","0.3","1,500","0.5"
"Mixed","","",""
"Mixed White/Asian","0.3","1,600","0.5"
"Mixed White/Black African","0.1","600","0.2"
"Mixed White/Black Caribbean","0.4","1,700","0.6"
"Mixed other","0.5","2,400","0.5"
"White","","",""
"White British","85.9","399,300","78.5"
"White Irish","1.6","7,300","1.0"
"White other","3.9","18,000","5.6"
"Other inc Chinese","","",""
"Chinese","0.2","800","0.9"
"Any other","0.6","2,700","1.1"
"Unknown","N/A","35,300","N/A"
