"Measure","Year","Time_type","Ethnicity","Ethnicity_type","Geography","Broad ethnicity","Gender","Gender_type","Teacher","Teacher_type","School","School_type","Value","Value_type","Value_note","Teachers"
"Number of teachers","2016","Year","White - British","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","86.5","%","","408800"
"Number of teachers","2016","Year","White - Irish","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.7","%","","7900"
"Number of teachers","2016","Year","Any other white background","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","3.8","%","","17900"
"Number of teachers","2016","Year","White and Black Caribbean","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1500"
"Number of teachers","2016","Year","White and Black African","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","600"
"Number of teachers","2016","Year","White and Asian","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1500"
"Number of teachers","2016","Year","Any other mixed background","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","2200"
"Number of teachers","2016","Year","Indian","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.8","%","","8600"
"Number of teachers","2016","Year","Pakistani","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","4900"
"Number of teachers","2016","Year","Bangladeshi","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","2300"
